RPM        CT      CP
 1026.667  0.099058  0.050332
 1486.667  0.103508  0.047511
 2046.667  0.109432  0.045676
 2526.667  0.112796  0.044368
 2953.333  0.113763  0.043739
 3460.000  0.115344  0.042790
 3940.000  0.116350  0.042753
 4460.000  0.117051  0.042539
 5000.000  0.117755  0.042752
 5460.000  0.117722  0.043008
 5953.333  0.118367  0.043452
 6533.333  0.118982  0.043781
 6960.000  0.120143  0.044128
 7500.000  0.121068  0.044660
